Name,Damage,Tags,Range,Max Range,Cost,Magazine,Ammo/Power,Attribute,Tech,Enc,Class,Description,Notes,Source
Unarmed Attack,1d2,,-,-,-,-,-,Str/Dex,--,0,Punch,Time for some good ol' fashioned fisticuffs!,,Official
Knife,1d4,,6,9,5,-,-,Str/Dex,0,1,Melee,"Knives are normal equipage for primitive worlds. The worlds most lacking in metal deposits or skill might be forced to rely on stone weaponry, which might be so fragile as to break on a natural roll of 1 on an attack.",,Official
Spears,1d6,,10,20,8,-,-,Str,0,1,Thrown,"Spears are normal equipage for primitive worlds. The worlds most lacking in metal deposits or skill might be forced to rely on stone weaponry, which might be so fragile as to break on a natural roll of 1 on an attack.",,Official
Club,1d4,,-,-,-,-,-,Str,0,1,Melee,"Clubs are normal equipage for primitive worlds. The worlds most lacking in metal deposits or skill might be forced to rely on stone weaponry, which might be so fragile as to break on a natural roll of 1 on an attack.",,Official
Primitive Bow,1d6,,50,75,15,-,-,Dex,1,2,Projectile,"Primitive bows are usually fashioned of gut, glue, wood, horn, and other natural components all carefully crafted to hold together under hard use.",,Official
Sword,1d8,,-,-,20,-,-,Str/Dex,1,1,Melee,"Swords are normal equipage for primitive worlds. The worlds most lacking in metal deposits or skill might be forced to rely on stone weaponry, which might be so fragile as to break on a natural roll of 1 on an attack.",,Official
Hyperalloy Scythe,1d8+1,,3,6,25,-,-,Str/Dex,1,2,Melee,"Some societies never really developed the sword as we know it and instead use something like a scythe. This is a scythe-weapon made with advanced metallurgical technology. The blade is stronger, more flexible and holds an edge better than a conventional steel tool. It is also immune to rust (but not to the rust-like effects of metal-eating viruses). This one is made specifically for combat, but it is also superb for reaping wheat.",,External
Greatsword,2d6,,-,-,30,-,-,Str,1,2,Melee,"Greatswords are normal equipage for primitive worlds. The worlds most lacking in metal deposits or skill might be forced to rely on stone weaponry, which might be so fragile as to break on a natural roll of 1 on an attack. Greatswords are large and unwieldy, requiring two hands for use.",,Official
HyperIce Shortsword,1d8+3,,-,-,85,-,-,Str/Dex,1,4,Melee,"A short, stabbing focused blade, made from supercooled ice. It is as sharp as broken glass and leaves nothing but water traces in the victim's wounds. Virtually untraceable, hyperice blades are almost exclusively used as tools for assassination and are therefore difficult to buy in most organized societies.
A power cell keeps the blade frozen for 24 hours. Regrowing the blade is a longer and more involved process. It requires a supply of clean (preferably distilled) water and about thirty minutes to freeze a new blade. A blade-shaped mold comes with the weapon at no extra cost, but it’s easy to improvise one if the original gets lost.",,External
Double Sided Axe,1d8+Str.Mod,,-,-,40,-,-,Str/Dex,2,2,Melee,"A huge, brutal weapon with a double sided axe-blade at its top. The blades are extremely sharp, which makes it a brutal weapon in close combat. It’s a tricky weapon to carry safely with its exposed blades. If a user handles this weapon without care, it is possible to end up cutting themselves or even severing a limb.",,External
Advanced Bow,1d6,,100,150,50,-,-,Dex,3,2,Projectile,Modern components allow advanced bows to greatly increase this weapon’s effective range.,,Official
Stun Baton,1d8,nonlethal,-,-,50,-,-,Str,3,1,Melee,"Stun batons are popular among the police forces of most technically advanced worlds, using impact to trigger a discharge of nonlethal electricity. A Type A power cell will fuel a stun baton for up to forty successful hits. The batons themselves are flexible and ineffective as bludgeons. A target brought to 0 hit points by a stun baton is rendered unconscious rather than dead, and will recover any hit points lost to the baton within an hour. Batons can be used to kill, but it requires extensive beating of an already-unconscious target.","Damage done by a stun baton can leave a target unconscious, but will not kill them.",Official
Shucker Prod,1d12,,-,-,50,-,-,Str/Dex,3,1,Melee,"On more than one world the locals have found themselves forced to face military forces equipped with armor far in advance of the available native weapon technology.
The “shucker prod” is one of the more common low-tech responses. ",,Supplementary
Monoblade,1d8+1,,6,9,50,-,-,Str/Dex,4,1,Melee,"Monoblades are a family of bladed weapons ranging from monomolecular knives to chainswords. While the wounds they inflict aren’t much more terrible than their unpowered brethren, they can affect even those targets wearing advanced armor.",,Official
Suit Ripper,1d6,,-,-,75,-,-,Str,4,1,Melee,Suit rippers are rods that blossom into mace-like balls of fractal razors designed to overwhelm a vacc suit’s self-sealing properties. A character with 10 or fewer hit points struck by a suit ripper always suffers a tear in their suit. Possession of these devices is normally a capital offense in space.,,Official
Kinesis Wraps,1d2+2,,-,-,100,-,-,Str/Dex,4,1,Punch,"Kinesis wraps are special metaplast gloves, boots, or knuckle dusters that translate the user’s blows into very focused impact points. A person using kinesis wraps can injure even those targets who are wearing advanced armor that would normally render them immune to fisticuffs. Fighting with kinesis wraps uses the Unarmed skill.",,Official
Power Fist,2d6,,6,9,200,-,-,Str,4,2,Punch,"A Power Fist (also known as a Power Glove) is a large metal gauntlet surrounded by an energy field that disrupts solid matter. It is large and slow in combat, and so the bearer must be willing to take damage before they can strike back. The benefits of the power fist are that it increases the user's strength, much like Power Armour due to the extra power put in by the electronics designed to allow it to move.",,External
Lightning Claw,3d6,,9,16,250,-,-,Str,4,2,Punch,A Lightning Claw is a specialized type of Power Fist. It consists of a power gauntlet and four blades attached to the gauntlet's fingers that crackle with matter-disruptive energy. These blades are the equivalent of small power weapons which carve through flesh with ease. They are most commonly used by Heavy Assault Squads.,,External
Crozius Arcanum,"1d6 Physical
2d6 Psychic",,50,100,350,-,-,Str/Dex,4,1,Psitech,"The Crozius Arcanum serves as both a sacred staff and as a weapon for Psychics. This duality is perceived as only natural to warrior Psychics, who sees battle as the most glorious chance to use their powers. The Crozius Arcanum itself is a staff or mace of medium length, topped with a winged skull emblem of the Terra Mandate, a long forgotten Terra government.
Along the physical use, Crozius Arcanum is also a psyche enhansing tool which allows the user to wield powers similar that to Pavonae Cult.",,External
Chronal Burner,Special,,-,-,580,2,Type A,Dex,4,1,Special,"This hand-held temporal weapon pulses random chronon bursts through its emissions aperture, slagging high-tech equipment in front of it. While the effects of the temporal alteration are almost imperceptible on a macroscopic scale, the flux of universal constants within sophisticated TL 5 equipment runs a 75% chance of ruining it, while TL 4 equipment suffers a 50% chance of being bricked. The burner is ineffective against devices larger than hand-held equipment, but ignores armor for purposes of determining the AC necessary to hit a character’s equipment. A burner can only destroy one item at a time. A chronal burner is only effective within melee range and gets only two shots off a single type A cell.",,Supplementary
Chain Axe,1d10+Str.Mod,,6,9,750,-,-,Str,4,2,Melee,"Ignores T3 and lower armor.
The Chainaxe is the favored weapon of the Berzerkers. It takes the form of an axe with motorized chainsaw teeth and is able to tear through both flesh and armor with relative ease.",,External
Chain Sword,1d10+Dex.Mod,,6,9,750,-,-,Dex,4,1,Melee,"Ignores T3 and lower armor.
A Chainsword is essentially a sword with motorized teeth that run along the blade like those of a chainsaw. Most versions make use of monomolecular-edged or otherwise razor sharp teeth. The weapon makes an angry buzzing sound as the teeth spin around, intensifying into a high pitched scream as they grind into armor.",,External
Double Sided Chainsword,1d10+Dex.Mod,,6,9,900,-,-,Dex,4,1,Melee,"Favored by gladiators, criminally insane and Space Marines, this weapon is the ultimate in gore-excess. With an open chainsaw blade at either sides of the sword, it is only slightly less dangerous to the wielder than to their opponent.","This weapon can ignore any T4 armor, but at a cost, if the user causes damage to the target, user must take 1/4th (rounded up) of the damage caused.",External
Vibroblade,1d12,,-,-,300,5 minutes,-,Dex,5,1,Melee,"Also known as a power blade, this short, wide bayonet vibrates at just the right harmonic frequency to cut through bone and flesh like a charm. It penetrates armor even better and does even more damage than a hypersharp, monowire edged blade.",,External
Nanoknife,1d12+1,,6,9,370,5 minutes,-,Str/Dex,5,0.5,Melee,"A general-purpose tool for disassembling solid objects, the nanoknife abandons sophisticated energy manipulation in favor of a very, very sharp edge. An inert knife may look like anything, but when triggered, a blade springs into existence between twelve and one hundred centimeters in length. Nanoknives never break or dull, and can chew through any postech material and most pretech ones with a minute of undisturbed carving. ",,Supplementary
Eviscerator,2d10+4,,6,9,1500,-,-,Str/Dex,5,3,Melee,"Eviscerator ignores all T4 and lower armor and can also deal 1d10 damage to heavy armor.
An Eviscerator is a form of obscenely oversized chainsword, that is so abnormally large that it can only ever be wielded in combat effectively with both hands or single handed if the user wears Power Armor. It can deal horrible wounds to living beings and even break walls or damage vehicles' armor.",,External
